SERCODIGO;DIA;MES;ANO;VALVALOR
PAN4_PIBPMG4;1;1;1997;3,400571651
PAN4_PIBPMG4;1;4;1997;4,754002328
PAN4_PIBPMG4;1;7;1997;1,791279422
PAN4_PIBPMG4;1;10;1997;3,738517979
PAN4_PIBPMG4;1;1;1998;1,00757483
PAN4_PIBPMG4;1;4;1998;1,509653301
PAN4_PIBPMG4;1;7;1998;0,355599698
PAN4_PIBPMG4;1;10;1998;-1,43453738
PAN4_PIBPMG4;1;1;1999;0,767667395
PAN4_PIBPMG4;1;4;1999;-0,400739156
PAN4_PIBPMG4;1;7;1999;-0,616233113
PAN4_PIBPMG4;1;10;1999;2,167630657
PAN4_PIBPMG4;1;1;2000;4,400704945
PAN4_PIBPMG4;1;4;2000;3,978408179
PAN4_PIBPMG4;1;7;2000;4,564589118
PAN4_PIBPMG4;1;10;2000;4,597511752
PAN4_PIBPMG4;1;1;2001;3,475090306
PAN4_PIBPMG4;1;4;2001;2,326055394
PAN4_PIBPMG4;1;7;2001;0,461195748
PAN4_PIBPMG4;1;10;2001;-0,531801799
PAN4_PIBPMG4;1;1;2002;0,476919127
PAN4_PIBPMG4;1;4;2002;2,29820253
PAN4_PIBPMG4;1;7;2002;4,174709006
PAN4_PIBPMG4;1;10;2002;5,172628189
PAN4_PIBPMG4;1;1;2003;2,667028392
PAN4_PIBPMG4;1;4;2003;0,781242384
PAN4_PIBPMG4;1;7;2003;0,626180711
PAN4_PIBPMG4;1;10;2003;0,588711946
PAN4_PIBPMG4;1;1;2004;3,878082362
PAN4_PIBPMG4;1;4;2004;6,308256602
PAN4_PIBPMG4;1;7;2004;6,558806525
PAN4_PIBPMG4;1;10;2004;6,209369339
PAN4_PIBPMG4;1;1;2005;4,184325286
PAN4_PIBPMG4;1;4;2005;4,474975873
PAN4_PIBPMG4;1;7;2005;2,114976675
PAN4_PIBPMG4;1;10;2005;2,150555245
PAN4_PIBPMG4;1;1;2006;4,279096722
PAN4_PIBPMG4;1;4;2006;2,283297371
PAN4_PIBPMG4;1;7;2006;4,49278802
PAN4_PIBPMG4;1;10;2006;4,795212101
PAN4_PIBPMG4;1;1;2007;5,194690732
PAN4_PIBPMG4;1;4;2007;6,537257073
PAN4_PIBPMG4;1;7;2007;5,870251833
PAN4_PIBPMG4;1;10;2007;6,639735017
PAN4_PIBPMG4;1;1;2008;6,157404465
PAN4_PIBPMG4;1;4;2008;6,336123939
PAN4_PIBPMG4;1;7;2008;6,980811311
PAN4_PIBPMG4;1;10;2008;1,02839756
PAN4_PIBPMG4;1;1;2009;-2,426054404
PAN4_PIBPMG4;1;4;2009;-2,202985333
PAN4_PIBPMG4;1;7;2009;-1,162650171
PAN4_PIBPMG4;1;10;2009;5,324324891
PAN4_PIBPMG4;1;1;2010;9,209092843
PAN4_PIBPMG4;1;4;2010;8,517738172
PAN4_PIBPMG4;1;7;2010;6,907159537
PAN4_PIBPMG4;1;10;2010;5,689329302
PAN4_PIBPMG4;1;1;2011;5,195117016
PAN4_PIBPMG4;1;4;2011;4,700500169
PAN4_PIBPMG4;1;7;2011;3,537345592
PAN4_PIBPMG4;1;10;2011;2,568003227
PAN4_PIBPMG4;1;1;2012;1,707205468
PAN4_PIBPMG4;1;4;2012;0,98647973
PAN4_PIBPMG4;1;7;2012;2,485421619
PAN4_PIBPMG4;1;10;2012;2,482780131
PAN4_PIBPMG4;1;1;2013;2,721097076
PAN4_PIBPMG4;1;4;2013;4,021836597
PAN4_PIBPMG4;1;7;2013;2,758950007
PAN4_PIBPMG4;1;10;2013;2,528783535
PAN4_PIBPMG4;1;1;2014;3,469374008
PAN4_PIBPMG4;1;4;2014;-0,435267377
PAN4_PIBPMG4;1;7;2014;-0,638793024
PAN4_PIBPMG4;1;10;2014;-0,228511096
PAN4_PIBPMG4;1;1;2015;-1,619428719
PAN4_PIBPMG4;1;4;2015;-2,740394313
PAN4_PIBPMG4;1;7;2015;-4,262844535
PAN4_PIBPMG4;1;10;2015;-5,519526718
PAN4_PIBPMG4;1;1;2016;-5,138149858
PAN4_PIBPMG4;1;4;2016;-3,218405388
PAN4_PIBPMG4;1;7;2016;-2,454179275
PAN4_PIBPMG4;1;10;2016;-2,261346034
PAN4_PIBPMG4;1;1;2017;0,281800604
PAN4_PIBPMG4;1;4;2017;0,787184003
PAN4_PIBPMG4;1;7;2017;1,640597066
PAN4_PIBPMG4;1;10;2017;2,576836394
PAN4_PIBPMG4;1;1;2018;1,90556196
PAN4_PIBPMG4;1;4;2018;1,618134779
PAN4_PIBPMG4;1;7;2018;2,057279532
PAN4_PIBPMG4;1;10;2018;1,552497858
PAN4_PIBPMG4;1;1;2019;0,898852394
PAN4_PIBPMG4;1;4;2019;1,16768845
PAN4_PIBPMG4;1;7;2019;1,107501716
PAN4_PIBPMG4;1;10;2019;1,703204183
PAN4_PIBPMG4;1;1;2020;0,419272757
PAN4_PIBPMG4;1;4;2020;-10,12638208
PAN4_PIBPMG4;1;7;2020;-3,024216469
PAN4_PIBPMG4;1;10;2020;-0,362194712
PAN4_PIBPMG4;1;1;2021;1,714264219
PAN4_PIBPMG4;1;4;2021;12,41540083
PAN4_PIBPMG4;1;7;2021;4,430888805
PAN4_PIBPMG4;1;10;2021;2,132304624
PAN4_PIBPMG4;1;1;2022;2,426989022
PAN4_PIBPMG4;1;4;2022;3,685226889
PAN4_PIBPMG4;1;7;2022;3,579164903
