SERCODIGO;DIA;MES;ANO;VALVALOR
PAN4_TCERXTINPC4;1;1;1980;121,4857703
PAN4_TCERXTINPC4;1;4;1980;120,3252781
PAN4_TCERXTINPC4;1;7;1980;118,2008463
PAN4_TCERXTINPC4;1;10;1980;108,3551809
PAN4_TCERXTINPC4;1;1;1981;105,4794905
PAN4_TCERXTINPC4;1;4;1981;101,4998308
PAN4_TCERXTINPC4;1;7;1981;100,4394154
PAN4_TCERXTINPC4;1;10;1981;107,2084672
PAN4_TCERXTINPC4;1;1;1982;99,41981173
PAN4_TCERXTINPC4;1;4;1982;95,4576372
PAN4_TCERXTINPC4;1;7;1982;89,3920833
PAN4_TCERXTINPC4;1;10;1982;95,9088482
PAN4_TCERXTINPC4;1;1;1983;107,7694008
PAN4_TCERXTINPC4;1;4;1983;127,5082561
PAN4_TCERXTINPC4;1;7;1983;126,0490795
PAN4_TCERXTINPC4;1;10;1983;131,4262692
PAN4_TCERXTINPC4;1;1;1984;133,8499872
PAN4_TCERXTINPC4;1;4;1984;136,9737554
PAN4_TCERXTINPC4;1;7;1984;134,3691915
PAN4_TCERXTINPC4;1;10;1984;133,3902991
PAN4_TCERXTINPC4;1;1;1985;131,4268136
PAN4_TCERXTINPC4;1;4;1985;146,5796479
PAN4_TCERXTINPC4;1;7;1985;149,589399
PAN4_TCERXTINPC4;1;10;1985;149,7637537
PAN4_TCERXTINPC4;1;1;1986;153,4292752
PAN4_TCERXTINPC4;1;4;1986;159,9626651
PAN4_TCERXTINPC4;1;7;1986;159,5319266
PAN4_TCERXTINPC4;1;10;1986;154,2370744
PAN4_TCERXTINPC4;1;1;1987;144,4222822
PAN4_TCERXTINPC4;1;4;1987;148,2116031
PAN4_TCERXTINPC4;1;7;1987;161,301482
PAN4_TCERXTINPC4;1;10;1987;156,9896083
PAN4_TCERXTINPC4;1;1;1988;155,1879422
PAN4_TCERXTINPC4;1;4;1988;156,2540563
PAN4_TCERXTINPC4;1;7;1988;149,1964579
PAN4_TCERXTINPC4;1;10;1988;151,216812
PAN4_TCERXTINPC4;1;1;1989;141,3508146
PAN4_TCERXTINPC4;1;4;1989;113,6933367
PAN4_TCERXTINPC4;1;7;1989;118,2136598
PAN4_TCERXTINPC4;1;10;1989;111,4026352
PAN4_TCERXTINPC4;1;1;1990;95,87536
PAN4_TCERXTINPC4;1;4;1990;97,9028374
PAN4_TCERXTINPC4;1;7;1990;99,7933755
PAN4_TCERXTINPC4;1;10;1990;118,2457816
PAN4_TCERXTINPC4;1;1;1991;124,5512944
PAN4_TCERXTINPC4;1;4;1991;117,9297949
PAN4_TCERXTINPC4;1;7;1991;114,8553845
PAN4_TCERXTINPC4;1;10;1991;135,6601811
PAN4_TCERXTINPC4;1;1;1992;139,1262876
PAN4_TCERXTINPC4;1;4;1992;137,4947124
PAN4_TCERXTINPC4;1;7;1992;140,3792161
PAN4_TCERXTINPC4;1;10;1992;137,1645099
PAN4_TCERXTINPC4;1;1;1993;134,8921977
PAN4_TCERXTINPC4;1;4;1993;138,7467122
PAN4_TCERXTINPC4;1;7;1993;137,0065426
PAN4_TCERXTINPC4;1;10;1993;137,5525136
PAN4_TCERXTINPC4;1;1;1994;133,4830319
PAN4_TCERXTINPC4;1;4;1994;135,0481974
PAN4_TCERXTINPC4;1;7;1994;135,1890661
PAN4_TCERXTINPC4;1;10;1994;120,4287431
PAN4_TCERXTINPC4;1;1;1995;116,3501556
PAN4_TCERXTINPC4;1;4;1995;120,8064434
PAN4_TCERXTINPC4;1;7;1995;117,6754183
PAN4_TCERXTINPC4;1;10;1995;115,0693705
PAN4_TCERXTINPC4;1;1;1996;114,7572823
PAN4_TCERXTINPC4;1;4;1996;113,3481702
PAN4_TCERXTINPC4;1;7;1996;112,9758876
PAN4_TCERXTINPC4;1;10;1996;113,8170556
PAN4_TCERXTINPC4;1;1;1997;98,26732209
PAN4_TCERXTINPC4;1;4;1997;98,3107042
PAN4_TCERXTINPC4;1;7;1997;98,44594007
PAN4_TCERXTINPC4;1;10;1997;99,36980183
PAN4_TCERXTINPC4;1;1;1998;96,79875131
PAN4_TCERXTINPC4;1;4;1998;97,53161676
PAN4_TCERXTINPC4;1;7;1998;100,1725986
PAN4_TCERXTINPC4;1;10;1998;107,0672302
PAN4_TCERXTINPC4;1;1;1999;152,8167972
PAN4_TCERXTINPC4;1;4;1999;142,9813794
PAN4_TCERXTINPC4;1;7;1999;152,9514527
PAN4_TCERXTINPC4;1;10;1999;155,2011964
PAN4_TCERXTINPC4;1;1;2000;140,2105393
PAN4_TCERXTINPC4;1;4;2000;139,6777087
PAN4_TCERXTINPC4;1;7;2000;136,0019471
PAN4_TCERXTINPC4;1;10;2000;141,1175741
PAN4_TCERXTINPC4;1;1;2001;147,5327708
PAN4_TCERXTINPC4;1;4;2001;161,9547608
PAN4_TCERXTINPC4;1;7;2001;177,2620213
PAN4_TCERXTINPC4;1;10;2001;172,4642883
PAN4_TCERXTINPC4;1;1;2002;156,0716451
PAN4_TCERXTINPC4;1;4;2002;165,6371789
PAN4_TCERXTINPC4;1;7;2002;205,2668026
PAN4_TCERXTINPC4;1;10;2002;229,6184454
PAN4_TCERXTINPC4;1;1;2003;209,687608
PAN4_TCERXTINPC4;1;4;2003;177,5617081
PAN4_TCERXTINPC4;1;7;2003;173,7835047
PAN4_TCERXTINPC4;1;10;2003;174,5342412
PAN4_TCERXTINPC4;1;1;2004;176,2702315
PAN4_TCERXTINPC4;1;4;2004;181,4644055
PAN4_TCERXTINPC4;1;7;2004;176,4232006
PAN4_TCERXTINPC4;1;10;2004;168,9535508
PAN4_TCERXTINPC4;1;1;2005;160,9806279
PAN4_TCERXTINPC4;1;4;2005;146,3808134
PAN4_TCERXTINPC4;1;7;2005;138,0742239
PAN4_TCERXTINPC4;1;10;2005;131,1706837
PAN4_TCERXTINPC4;1;1;2006;128,2071294
PAN4_TCERXTINPC4;1;4;2006;129,6997967
PAN4_TCERXTINPC4;1;7;2006;130,1399447
PAN4_TCERXTINPC4;1;10;2006;129,0036535
PAN4_TCERXTINPC4;1;1;2007;126,2299485
PAN4_TCERXTINPC4;1;4;2007;120,5734686
PAN4_TCERXTINPC4;1;7;2007;117,5045694
PAN4_TCERXTINPC4;1;10;2007;112,265335
PAN4_TCERXTINPC4;1;1;2008;110,9032712
PAN4_TCERXTINPC4;1;4;2008;107,1829456
PAN4_TCERXTINPC4;1;7;2008;105,2185426
PAN4_TCERXTINPC4;1;10;2008;130,6982641
PAN4_TCERXTINPC4;1;1;2009;129,3697655
PAN4_TCERXTINPC4;1;4;2009;118,2002867
